state_name,block_code,stage2_works_api,stage2_works_db,delta_fetch_stage2,works_sent_mq,works_processed_function_app,delta_processed_stage2,flagged_works_ai_rule,flagged_works_percen_ai_rule,stage2_works_sent_nic,last_updated_datetime
Andhar Pradesh,0203025,10,10.0,0.0,0.0,20.0,-20.0,0.0,0.0,20.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212005,2,2.0,0.0,0.0,4.0,-4.0,0.0,0.0,4.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211039,38,38.0,0.0,0.0,76.0,-76.0,2.0,2.63,76.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211018,8,8.0,0.0,0.0,16.0,-16.0,4.0,25.0,16.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211007,13,13.0,0.0,0.0,26.0,-26.0,6.0,23.08,26.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0211012,3,3.0,0.0,0.0,6.0,-6.0,2.0,33.33,6.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210014,13,13.0,0.0,0.0,26.0,-26.0,10.0,38.46,26.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208049,3,3.0,0.0,0.0,6.0,-6.0,0.0,0.0,6.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206047,45,45.0,0.0,0.0,89.0,-89.0,49.0,55.06,89.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0206002,5,5.0,0.0,0.0,10.0,-10.0,6.0,60.0,10.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0208036,26,26.0,0.0,0.0,52.0,-52.0,2.0,3.85,52.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207006,5,5.0,0.0,0.0,10.0,-10.0,0.0,0.0,10.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203012,200,200.0,0.0,0.0,400.0,-400.0,58.0,14.5,400.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210041,75,75.0,0.0,0.0,150.0,-150.0,18.0,12.0,150.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0209034,14,14.0,0.0,0.0,28.0,-28.0,8.0,28.57,28.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212002,30,30.0,0.0,0.0,60.0,-60.0,14.0,23.33,60.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0204058,21,21.0,0.0,0.0,42.0,-42.0,4.0,9.52,42.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0207036,1,1.0,0.0,0.0,2.0,-2.0,0.0,0.0,2.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210059,42,42.0,0.0,0.0,84.0,-84.0,6.0,7.14,84.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0205028,151,151.0,0.0,0.0,302.0,-302.0,12.0,3.97,302.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0203018,40,40.0,0.0,0.0,80.0,-80.0,12.0,15.0,80.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212025,10,10.0,0.0,0.0,20.0,-20.0,2.0,10.0,20.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0202006,45,45.0,0.0,0.0,90.0,-90.0,36.0,40.0,90.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0210065,9,9.0,0.0,0.0,14.0,-14.0,4.0,28.57,14.0,2024-06-18 04:48:28.868147+00:00
Andhar Pradesh,0212015,8,8.0,0.0,0.0,16.0,-16.0,6.0,37.5,16.0,2024-06-18 04:48:28.868147+00:00
